No.,Time,Source,Destination,Protocol,Length,Info,,,Time 1,Time 2,,Delay 
603,25.000136,MargaGibran-PC,r3.sn-uxa3vhnxa-jb3r.googlevideo.com,TCP,66,49335  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,
604,25.000617,MargaGibran-PC,r3.sn-uxa3vhnxa-jb3r.googlevideo.com,TCP,66,49336  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,
605,25.005678,MargaGibran-PC,r3.sn-uxa3vhnxa-jb3r.googlevideo.com,TCP,66,49337  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,
624,25.610873,google.com,MargaGibran-PC,TCP,54,https(443)  >  49330 [ACK] Seq=5546 Ack=1802 Win=24192 Len=0,,,,,,
625,25.610875,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49327 [ACK] Seq=4584 Ack=2853 Win=25248 Len=0,,,,,,
626,25.610876,google.com,MargaGibran-PC,TCP,54,"https(443)  >  49330 [FIN, ACK] Seq=5546 Ack=1802 Win=24192 Len=0",,,,,,
627,25.610877,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,"https(443)  >  49327 [FIN, ACK] Seq=4584 Ack=2853 Win=25248 Len=0",,,,,,
628,25.610958,MargaGibran-PC,google.com,TCP,54,49330  >  https(443) [ACK] Seq=1802 Ack=5547 Win=64512 Len=0,,,,,,
629,25.611192,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,49327  >  https(443) [ACK] Seq=2853 Ack=4585 Win=65536 Len=0,,,,,,
631,25.613213,google.com,MargaGibran-PC,TCP,54,"[TCP Out-Of-Order] https(443)  >  49330 [FIN, ACK] Seq=5546 Ack=1802 Win=24192 Len=0",,,,,,
632,25.613215,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,"[TCP Out-Of-Order] https(443)  >  49327 [FIN, ACK] Seq=4584 Ack=2853 Win=25248 Len=0",,,,,,
633,25.61325,MargaGibran-PC,google.com,TCP,54,[TCP ZeroWindow] 49330  >  https(443) [ACK] Seq=1802 Ack=5547 Win=0 Len=0,,,,,,
634,25.613344,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,[TCP ZeroWindow] 49327  >  https(443) [ACK] Seq=2853 Ack=4585 Win=0 Len=0,,,,,,
635,25.615284,google.com,MargaGibran-PC,TCP,54,"[TCP Out-Of-Order] https(443)  >  49330 [FIN, ACK] Seq=5546 Ack=1802 Win=24192 Len=0",,,,,,
636,25.615306,MargaGibran-PC,google.com,TCP,54,[TCP ZeroWindow] 49330  >  https(443) [ACK] Seq=1802 Ack=5547 Win=0 Len=0,,,,,,
